"","day","mo","temp","NUM_COLLISIONS"
"695",3,4,35.3,-0.479071281185039
"696",2,4,47.8,0.248654536733778
"697",1,4,46.3,-0.578759749393096
"698",3,4,49.8,-0.798074379450822
"699",4,4,47.3,0.976380354652595
"700",4,4,49.2,0.268592230375389
"701",2,4,46.9,0.348343004941835
"702",1,4,39.7,-0.887794000838074
"703",3,4,46.8,-1.19682825228305
"704",5,4,50,1.29538345291838
"705",6,4,46.8,-0.987482469046131
"706",2,4,48.4,-1.1071086308958
"707",4,4,49.1,-0.588728596213902
"708",7,4,44.9,-0.508977821647457
"709",4,4,46.8,-0.0404420210695881
"710",1,4,51.9,-1.17689055864144
"711",4,4,49.8,-0.309600885231342
